id,termKo,termEn,def,collection,category,difficulty,vibeCore,slug,source,quizEnabled,reviewStatus
base-0039,Java,자바,안드로이드의 전통 언어. 오래된 코드·자료가 많아 여전히 널리 쓰입니다.,ai,개발 언어,2,False,자바,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0040,Kotlin,코틀린,안드로이드 공식 권장 언어. 간결하고 안전해 요즘 네이티브 안드로이드 개발의 표준.,ai,개발 언어,2,False,코틀린,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0041,Objective-C,오브젝티브C,Swift 이전의 애플 전통 언어. 옛 iOS 프로젝트에서 만납니다.,ai,개발 언어,2,False,오브젝티브c,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0042,Python,파이썬,배우기 쉬운 범용 언어. 백엔드·AI·자동화에 강함(모바일 UI엔 잘 안 씀).,ai,개발 언어,2,False,파이썬,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0043,SQL,에스큐엘,데이터베이스에 데이터를 넣고 꺼내는 질의 언어.,ai,개발 언어,2,False,에스큐엘,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0044,Swift,스위프트,애플(iOS·맥) 공식 언어. 현대적이고 안전한 문법.,ai,개발 언어,2,False,스위프트,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0045,TypeScript,타입스크립트,자바스크립트에 타입(자료형)을 더한 언어. 오류를 미리 잡아줘 큰 앱에 유리.,ai,개발 언어,2,False,타입스크립트,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0046,DevOps 엔지니어,DevOps,배포·서버 운영·자동화를 담당하는 개발자. 앱이 안정적으로 돌게 관리.,ai,개발 직무,2,False,devops,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0047,QA 엔지니어,QA/Test,출시 전 앱을 테스트해 버그를 찾는 품질 담당자.,ai,개발 직무,2,False,qa-test,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0048,제품 관리자,Product Manager,사용자 문제와 사업 목표를 정리하고 무엇을 어떤 순서로 만들지 결정하는 역할.,ai,개발 직무,2,False,pm-designer,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0049,데이터 엔지니어,Data,데이터를 모으고 가공·저장하는 파이프라인을 만드는 개발자.,ai,개발 직무,2,False,data,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0050,모바일 엔지니어,Mobile/App,안드로이드·iOS 앱을 전문으로 만드는 개발자.,ai,개발 직무,2,False,mobile-app,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0051,백엔드 엔지니어,Backend,화면 뒤에서 데이터·로직·서버를 다루는 개발자. DB·API·인증 담당.,ai,개발 직무,2,False,backend-2,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0052,풀스택 엔지니어,Full-stack,프론트·백엔드를 모두 다루는 개발자. 혼자 앱 전체를 만들 수 있음.,ai,개발 직무,2,False,full-stack,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0053,프론트엔드 엔지니어,Frontend,사용자가 보고 만지는 화면(UI)을 만드는 개발자. 버튼·레이아웃·상호작용 담당.,ai,개발 직무,2,False,frontend-2,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0054,.gitignore,깃이그노어,버전 관리에서 제외할 파일 목록. 비밀 키·임시 파일 등을 뺍니다.,ai,깃·버전관리,2,False,깃이그노어,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0055,Git,깃,코드의 변경 이력을 저장·관리하는 도구. 개발의 '무한 되돌리기(Ctrl+Z)'.,ai,깃·버전관리,2,False,깃,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0056,GitHub,깃허브,Git 저장소를 온라인에 두고 협업·백업하는 서비스.,ai,깃·버전관리,2,False,깃허브,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0057,머지,merge,브랜치의 변경 내용을 합치는 것.,ai,깃·버전관리,2,False,merge,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0058,브랜치,branch,본 코드를 건드리지 않고 실험하는 갈래. 망쳐도 본체는 안전합니다.,ai,깃·버전관리,2,False,branch,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0059,저장소,repository/repo,프로젝트 파일과 그 이력을 담는 공간.,ai,깃·버전관리,2,False,repository-repo,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0060,커밋,commit,현재 상태를 하나의 기록점으로 저장하는 것. '여기까지 저장!' 스냅샷.,ai,깃·버전관리,2,False,commit,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0061,클론,clone,원격 저장소를 내 컴퓨터로 통째로 복제하는 것.,ai,깃·버전관리,2,False,clone,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0062,푸시,push,로컬 저장소의 커밋을 원격 저장소로 올리는 Git 작업.,ai,깃·버전관리,2,False,push-pull,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0063,풀 리퀘스트,PR,내 변경을 본 코드에 반영해달라고 요청하는 것. 리뷰의 출발점.,ai,깃·버전관리,2,False,pr,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0064,CRUD,크루드,데이터의 기본 4동작: 생성(Create)·조회(Read)·수정(Update)·삭제(Delete).,ai,데이터 기본,2,False,크루드,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0065,JSON,제이슨,데이터를 이름-값으로 표현하는 가벼운 형식. 앱과 서버가 데이터를 주고받는 공용어.,ai,데이터 기본,2,False,제이슨,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0066,데이터베이스,DB,데이터를 체계적으로 저장·관리하는 창고.,ai,데이터 기본,2,False,db,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0067,로컬 저장,local storage,서버 없이 기기 안에 데이터를 저장하는 방식. 첫 앱에 적합.,ai,데이터 기본,2,False,local-storage,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0068,마이그레이션,migration,데이터 구조를 바꾸거나 옮기는 작업.,ai,데이터 기본,2,False,migration,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0069,백업,backup,데이터 손실에 대비해 복사본을 따로 저장해두는 것.,ai,데이터 기본,2,False,backup,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0070,스키마,schema,데이터가 어떤 구조로 저장되는지 정의한 설계도.,ai,데이터 기본,2,False,schema,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0071,캐시,cache,자주 쓰는 데이터를 임시로 저장해 빠르게 재사용하는 것.,ai,데이터 기본,2,False,cache,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0072,쿼리,query,데이터베이스에 원하는 데이터를 요청하는 명령.,ai,데이터 기본,2,False,query,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0073,키-값,key-value,'이름표(키) → 값'으로 저장하는 단순한 데이터 방식.,ai,데이터 기본,2,False,key-value,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0074,JOIN,조인,여러 테이블을 연결해 함께 조회하는 것. 관계형 DB의 핵심 기능.,ai,배포·운영·SQL,2,False,조인,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0075,SELECT,SELECT,SQL에서 조건에 맞는 데이터를 조회하는 명령.,ai,배포·운영·SQL,2,False,sql-명령,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0076,WHERE,WHERE,SQL 조회·수정·삭제 대상에 조건을 적용하는 구문.,ai,배포·운영·SQL,2,False,조건-정렬,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0077,구글플레이 콘솔,Play Console,안드로이드 앱을 등록·관리·배포하는 구글의 개발자 대시보드.,ai,배포·운영·SQL,2,False,play-console,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0078,롤백,rollback,문제가 생겼을 때 이전의 정상 버전으로 되돌리는 것.,ai,배포·운영·SQL,2,False,rollback,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0079,배포,deploy,만든 앱·서비스를 사용자가 쓸 수 있게 세상에 내보내는 것.,ai,배포·운영·SQL,2,False,deploy,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0080,버그,bug,의도와 다르게 동작하는 오류. 모든 앱에 있습니다.,ai,배포·운영·SQL,2,False,bug,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0081,버전 관리,versioning,"앱의 단계(1.0, 1.1…)를 매겨 변경을 추적하는 것.",ai,배포·운영·SQL,2,False,versioning,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0082,앱스토어 등록,store submission,심사를 거쳐 스토어에 앱을 올리는 과정. 정책 준수가 필요.,ai,배포·운영·SQL,2,False,store-submission,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0083,DB 커밋,database commit,트랜잭션에서 수행한 변경을 데이터베이스에 최종 확정하는 작업.,ai,배포·운영·SQL,2,False,commit-rollback,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0084,소프트웨어 테스트,software testing,예상한 동작과 실제 동작을 비교해 결함을 찾고 품질을 확인하는 과정.,ai,배포·운영·SQL,2,False,testing,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0085,트랜잭션,transaction,여러 작업을 하나로 묶어 '전부 성공 또는 전부 취소'로 처리하는 단위.,ai,배포·운영·SQL,2,False,transaction,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0086,호스팅,hosting,앱·웹을 인터넷에 올려 항상 접속 가능하게 하는 서비스.,ai,배포·운영·SQL,2,False,hosting,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0087,ASO,앱스토어 최적화,스토어에서 앱이 잘 검색·노출되게 이름·아이콘·설명을 다듬는 것.,ai,수익화,2,False,앱스토어-최적화,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0088,구독,subscription,월·연 단위로 반복 결제받는 방식. 유지율(리텐션)이 생명.,ai,수익화,2,False,subscription,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0089,리텐션,retention,처음 사용한 사람이 일정 시간이 지난 뒤 다시 돌아오는 비율.,ai,수익화,2,False,retention,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0090,인앱결제,IAP,앱 안에서 아이템·기능을 판매해 버는 방식. 고ARPU 시장에 유리.,ai,수익화,2,False,iap,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0091,인앱광고,IAA,앱에 광고를 붙여 버는 방식. 초보·대규모 볼륨 앱의 주 수익원.,ai,수익화,2,False,iaa,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0092,AAB,안드로이드 앱 번들,현재 구글플레이 표준 제출 형식. APK를 대체하며 기기별 최적 설치를 지원.,ai,스토어 출시,2,False,안드로이드-앱-번들,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0093,개발자 계정,developer account,앱을 스토어에 등록·배포하려고 만드는 개발자용 계정. 비용과 확인 요건은 스토어 정책을 확인해야 합니다.,ai,스토어 출시,2,False,developer-account,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0094,데이터 안전 섹션,Data safety section,앱이 수집·공유·보호하는 사용자 데이터를 스토어에 공개하는 항목.,ai,스토어 출시,2,False,data-safety,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0095,앱 서명,app signing,배포 파일의 제작자와 무결성을 증명하는 디지털 서명 절차.,ai,스토어 출시,2,False,signing-keystore,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0096,클로즈드 테스트,closed testing,초대한 테스터만 참여하는 비공개 배포 단계. 일부 신규 Google Play 개인 계정에는 12명·14일 요건이 적용됩니다.,ai,스토어 출시,2,False,closed-testing,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0097,타겟 API 레벨,target API,앱이 대상으로 선언한 안드로이드 API 수준. Google Play 제출 기준은 매년 바뀌므로 공식 요구사항을 확인해야 합니다.,ai,스토어 출시,2,False,target-api,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0098,ACID,에이시드,믿을 수 있는 트랜잭션의 4원칙(원자성·일관성·고립성·지속성).,ai,앱 아키텍처,2,False,에이시드,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0099,N+1 문제,N+1 problem,쿼리를 비효율적으로 여러 번 날려 느려지는 흔한 실수(심화).,ai,앱 아키텍처,2,False,n-1-problem,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0100,ORM,객체-관계 매핑,코드의 객체와 DB 테이블을 자동으로 연결해주는 도구. SQL을 덜 쓰게 해줌.,ai,앱 아키텍처,2,False,객체-관계-매핑,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0101,UI,사용자 인터페이스,사용자가 마주하는 화면·버튼 등 시각 요소.,ai,앱 아키텍처,2,False,사용자-인터페이스,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0102,UX,사용자 경험,앱을 쓰며 느끼는 전반적 경험. 쉽고 편한지가 핵심.,ai,앱 아키텍처,2,False,사용자-경험,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0103,라우팅,routing,화면(페이지) 간 이동을 관리하는 것.,ai,앱 아키텍처,2,False,routing,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0104,라이브러리 vs 프레임워크,라이브러리 vs 프레임워크,"라이브러리는 '내가 필요할 때 부르는 도구', 프레임워크는 '나를 부르는 큰 틀'.",ai,앱 아키텍처,2,False,라이브러리-vs-프레임워크,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0105,렌더링,rendering,코드·데이터를 실제 화면으로 그려내는 과정.,ai,앱 아키텍처,2,False,rendering,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0106,문서,document,문서형 데이터베이스에서 한 개의 객체 데이터를 저장하는 단위.,ai,앱 아키텍처,2,False,document-collection,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0107,반응형,responsive,화면 크기(폰·태블릿·PC)에 맞춰 레이아웃이 자동 조정되는 것.,ai,앱 아키텍처,2,False,responsive,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0108,백엔드,backend,화면 뒤에서 데이터·로직을 처리하는 부분. 보이지 않는 엔진.,ai,앱 아키텍처,2,False,backend,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0109,상태,state,"앱이 지금 기억하는 값. 예: 로그인 여부, 입력 중인 글자.",ai,앱 아키텍처,2,False,state,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0110,서버,server,요청을 받아 데이터·응답을 주는 쪽. 항상 켜져 있는 컴퓨터.,ai,앱 아키텍처,2,False,server,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0111,이벤트,event,사용자 행동(클릭·입력 등)이나 시스템 신호. 이에 반응해 코드가 실행됩니다.,ai,앱 아키텍처,2,False,event,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0112,커넥션 풀,connection pool,데이터베이스 연결을 미리 만들고 재사용해 연결 비용을 줄이는 구조.,ai,앱 아키텍처,2,False,connection,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0113,컴포넌트,component,재사용 가능한 화면 조각. 버튼·카드 하나하나가 컴포넌트.,ai,앱 아키텍처,2,False,component,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0114,클라이언트,client,서비스를 요청하는 쪽. 보통 사용자의 앱·브라우저.,ai,앱 아키텍처,2,False,client,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0115,프레임워크,framework,앱의 뼈대를 잡아주는 큰 틀. 정해진 규칙 위에서 개발합니다.,ai,앱 아키텍처,2,False,framework,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0116,프론트엔드,frontend,사용자가 보고 만지는 화면 부분. 버튼·색·글자 등.,ai,앱 아키텍처,2,False,frontend,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0117,Capacitor,Capacitor,웹 기술로 만든 앱이 카메라 같은 네이티브 기능을 사용하도록 연결하는 런타임.,ai,앱 프레임워크,2,False,카파시터,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0118,Ionic,아이오닉,웹 기술(HTML·CSS·JS)로 하이브리드 앱을 만드는 프레임워크.,ai,앱 프레임워크,2,False,아이오닉,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0119,Jetpack Compose,컴포즈,Kotlin으로 안드로이드 화면(UI)을 선언형으로 만드는 최신 방식.,ai,앱 프레임워크,2,False,컴포즈,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0120,PWA,프로그레시브 웹앱,웹앱인데 설치·오프라인·알림까지 되는 방식. 스토어 없이 앱처럼 쓸 수 있음.,ai,앱 프레임워크,2,False,프로그레시브-웹앱,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0121,React Native,리액트 네이티브,자바스크립트/React로 네이티브 앱을 만드는 메타의 크로스플랫폼 프레임워크.,ai,앱 프레임워크,2,False,리액트-네이티브,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0122,SwiftUI,스위프트UI,Swift로 애플 앱 화면을 선언형으로 만드는 최신 방식.,ai,앱 프레임워크,2,False,스위프트ui,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0123,웹앱,web app,브라우저에서 도는 앱. 설치 없이 URL로 접속. 배포가 가장 쉬움.,ai,앱 프레임워크,2,False,web-app,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0124,하이브리드 앱,hybrid,웹 기술로 만들어 앱 껍데기에 담은 것. 한 코드로 양 OS 커버.,ai,앱 프레임워크,2,False,hybrid,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0125,API,에이피아이,프로그램끼리 데이터를 주고받는 창구. 예: 날씨 API로 날씨 데이터 받기.,ai,웹·언어·API,2,False,에이피아이,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0126,CSS,씨에스에스,화면의 겉모습(색·크기·배치)을 꾸미는 언어.,ai,웹·언어·API,2,False,씨에스에스,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0127,Flutter,플러터,한 코드로 iOS·안드로이드 앱을 만드는 구글의 크로스플랫폼 도구.,ai,웹·언어·API,2,False,플러터,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0128,HTML,에이치티엠엘,웹 페이지의 뼈대(구조)를 만드는 언어. 제목·문단·버튼 배치.,ai,웹·언어·API,2,False,에이치티엠엘,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
base-0129,HTTP 요청·응답,request/response,클라이언트가 요청하면 서버가 응답하는 웹 통신의 기본 흐름.,ai,웹·언어·API,2,False,request-response,exansys 홈페이지 · AI/앱 용어집,True,reviewed-2026-07
